tile_id row_start row_num col_start col_num nnz bypass_cache_l bypass_cache_r use_victim_cache
0 0 16 0 64 2 1 1 0
2 0 16 128 64 1 1 1 0
3 0 16 192 64 1 1 1 0
4 0 16 256 64 2 1 1 0
5 0 16 320 64 2 1 1 0
7 0 16 448 64 1 1 1 0
9 0 16 576 64 1 1 1 0
10 0 16 640 64 2 1 1 0
11 0 16 704 64 1 1 1 0
15 0 16 960 64 2 1 1 0
16 0 16 1024 64 1 1 1 0
17 0 16 1088 64 2 1 1 0
19 0 16 1216 64 2 1 1 0
20 0 16 1280 64 1 1 1 0
22 0 16 1408 64 2 1 1 0
25 0 16 1600 64 4 1 1 0
26 0 16 1664 64 2 1 1 0
27 0 16 1728 64 1 1 1 0
28 0 16 1792 64 2 1 1 0
29 0 16 1856 64 1 1 1 0
31 0 16 1984 64 3 1 1 0
32 0 16 2048 64 2 1 1 0
33 0 16 2112 64 1 1 1 0
34 0 16 2176 64 1 1 1 0
36 0 16 2304 64 1 1 1 0
39 0 16 2496 64 3 1 1 0
40 0 16 2560 64 2 1 1 0
41 0 16 2624 64 3 1 1 0
43 16 16 0 64 3 1 1 0
44 16 16 64 64 3 1 1 0
45 16 16 128 64 1 1 1 0
46 16 16 192 64 1 1 1 0
52 16 16 576 64 2 1 1 0
53 16 16 640 64 1 1 1 0
54 16 16 704 64 1 1 1 0
57 16 16 896 64 1 1 1 0
58 16 16 960 64 2 1 1 0
59 16 16 1024 64 2 1 1 0
62 16 16 1216 64 1 1 1 0
63 16 16 1280 64 3 1 1 0
64 16 16 1344 64 2 1 1 0
65 16 16 1408 64 1 1 1 0
67 16 16 1536 64 2 1 1 0
68 16 16 1600 64 2 1 1 0
69 16 16 1664 64 4 1 1 0
70 16 16 1728 64 1 1 1 0
71 16 16 1792 64 1 1 1 0
73 16 16 1920 64 1 1 1 0
74 16 16 1984 64 1 1 1 0
75 16 16 2048 64 1 1 1 0
76 16 16 2112 64 6 1 1 0
77 16 16 2176 64 1 1 1 0
78 16 16 2240 64 2 1 1 0
79 16 16 2304 64 4 1 1 0
80 16 16 2368 64 2 1 1 0
81 16 16 2432 64 3 1 1 0
83 16 16 2560 64 1 1 1 0
84 16 16 2624 64 2 1 1 0
86 32 16 0 64 2 1 1 0
87 32 16 64 64 1 1 1 0
88 32 16 128 64 3 1 1 0
90 32 16 256 64 2 1 1 0
92 32 16 384 64 1 1 1 0
93 32 16 448 64 1 1 1 0
94 32 16 512 64 1 1 1 0
95 32 16 576 64 2 1 1 0
96 32 16 640 64 2 1 1 0
97 32 16 704 64 1 1 1 0
